bx,by,rx,ry,T
1,1,1,1,0.0
1,1,1,7,25.348715874937053
1,1,1,9,24.633302435909748
1,1,1,11,23.48634743511804
1,1,1,13,22.806064782653102
1,1,1,15,28.135652202615116
1,1,1,17,28.152776002721964
1,1,1,19,28.933241918016996
1,1,1,21,29.321166530638976
1,1,1,25,35.3982713004258
1,1,1,27,38.52256058428523
1,1,2,2,2.209223938729938
1,1,2,4,4.2769528059900495
1,1,2,10,24.166630087582977
1,1,2,12,22.0726173273535
1,1,2,14,20.58682740050567
1,1,2,20,29.647890568895484
1,1,2,22,31.660737541736708
1,1,2,24,34.335659335127005
1,1,2,26,36.329397334419426
1,1,2,28,38.41470796317361
1,1,3,1,7.737981576094537
1,1,3,3,4.490014098701171
1,1,3,5,6.676119612604135
1,1,3,9,14.655506349112683
1,1,3,11,21.33916987205389
1,1,3,13,20.736154832643052
1,1,3,17,27.46109555208336
1,1,3,19,29.119029787620775
1,1,3,21,30.81767607444435
1,1,3,23,32.466892455782464
1,1,3,27,38.074901987167664
1,1,4,6,8.135847694642214
1,1,4,20,30.25264635164725
1,1,4,22,31.561562022067335
1,1,4,24,32.892372229669306
1,1,5,1,7.523242901541084
1,1,5,3,7.0924908192840155
1,1,5,9,14.816303851847954
1,1,5,11,17.126214497000404
1,1,5,13,20.028485764771958
1,1,5,17,25.489885673234117
1,1,5,21,30.782288991758374
1,1,5,23,31.965379139151068
1,1,5,27,39.07718861479987
1,1,6,4,8.399471874317548
1,1,6,6,11.27949373873486
1,1,6,8,13.377032063931741
1,1,6,10,15.799818358313189
1,1,6,14,22.19878051691242
1,1,6,16,24.203178058755384
1,1,6,28,39.40223632205642
1,1,7,3,8.735025099817676
1,1,7,5,10.703030541313055
1,1,7,9,13.831577434063163
1,1,7,11,22.64811213985977
1,1,7,13,22.187939507349864
1,1,7,17,25.805305652972972
1,1,7,19,28.225888898630007
1,1,7,21,29.958170039462
1,1,7,23,30.54824576725537
1,1,7,25,39.27418687158018
1,1,7,27,39.45724299582949
1,1,8,4,10.816209763839234
1,1,8,6,12.63668735076497
1,1,8,8,14.646549750024025
1,1,8,10,22.939749869879957
1,1,8,20,28.933017292075455
1,1,8,22,31.25294372515114
1,1,8,24,39.243915564587034
1,1,8,26,39.37808261709479
1,1,9,1,18.465906864854613
1,1,9,5,13.27579342877739
1,1,9,9,15.461522065984889
1,1,9,11,23.23295295545096
1,1,9,13,23.62957589168955
1,1,9,15,25.094048797776182
1,1,9,19,29.716097294600676
1,1,9,21,32.10430699465841
1,1,9,25,38.95085007152521
1,1,9,27,39.537242982721445
1,1,10,2,18.287435849008272
1,1,10,6,14.414936063569824
1,1,10,8,16.30722890031143
1,1,10,10,23.52615604102196
1,1,10,12,23.712418313269463
1,1,10,18,30.092947710013362
1,1,10,20,31.394797142858167
1,1,10,22,32.585581300098994
1,1,10,24,37.893753777490055
1,1,10,26,39.088156582649574
1,1,10,28,39.54973963928089
1,1,11,1,18.58537703780586
1,1,11,3,17.72014571308844
1,1,11,5,15.411075774406521
1,1,11,15,26.54028405201318
1,1,11,17,29.15789780802216
1,1,11,19,30.977519532200468
1,1,11,21,32.98331221028069
1,1,11,23,35.33892644374845
1,1,11,27,39.791148166844195
1,1,12,2,18.861888302394075
1,1,12,8,19.773267872212667
1,1,12,10,21.868565291765403
1,1,12,12,24.20141636922375
1,1,12,14,25.303128860703875
1,1,12,18,30.68474474518576
1,1,12,22,33.349482162286066
1,1,12,24,38.19334819878838
1,1,13,3,19.672120940982627
1,1,13,5,21.334777449672806
1,1,13,7,21.240518101006725
1,1,13,19,32.51440151220077
1,1,13,23,42.099123068189634
1,1,13,25,40.36773775791545
1,1,13,27,40.33739121879688
1,1,14,6,22.330090962662503
1,1,14,10,27.66607396169704
1,1,14,12,26.3374611809391
1,1,14,16,35.961424443232744
1,1,14,20,34.625165566519065
1,1,14,24,41.66013968599777
1,1,14,26,41.2367387693389
1,1,15,3,21.201713019787206
1,1,15,5,22.989895205226507
1,1,15,7,22.386710444748246
1,1,15,13,27.714119242616334
1,1,15,23,42.573563595599346
1,1,15,25,41.71792499936074
1,1,15,27,42.6184502091302
1,1,16,2,23.09577658106663
1,1,16,4,23.969417671387703
1,1,16,6,23.376416808594254
1,1,16,8,29.70824005706217
1,1,16,10,29.504464245551677
1,1,16,12,29.687220219036504
1,1,16,16,35.6454311134878
1,1,16,18,36.81849631571995
1,1,16,20,36.40116750963463
1,1,16,24,42.55607796449689
1,1,16,26,41.96630934713815
1,1,16,28,44.136670258162326
1,1,17,3,25.50100828614479
1,1,17,5,25.500234885934823
1,1,17,7,29.119603980264657
1,1,17,9,29.996260654482562
1,1,17,11,30.749048597550694
1,1,17,15,35.29172652981668
1,1,17,21,36.65561550598689
1,1,17,23,43.90909428895006
1,1,17,27,44.90041655339462
1,1,18,4,27.1996123409989
1,1,18,6,28.444745642760818
1,1,18,8,29.857462046420764
1,1,18,10,30.958373486414857
1,1,18,12,31.943411914171833
1,1,18,14,34.26196011988301
1,1,18,16,35.80971396352698
1,1,18,18,36.625539479274956
1,1,18,20,36.73189145093945
1,1,18,22,44.77467488785228
1,1,18,28,45.60689134715736
1,1,19,3,27.7162770207145
1,1,19,9,30.99091886874621
1,1,19,15,35.232156324296994
1,1,19,21,44.72531101280499
1,1,19,23,45.299884387601786
1,1,19,25,47.51840697046495
1,1,19,27,46.87683901501096
1,1,20,2,28.825798680273245
1,1,20,4,28.515495951740956
1,1,20,6,29.966794108515852
1,1,20,8,30.921349172782595
1,1,20,10,32.14360741537658
1,1,20,12,33.57310346237179
1,1,20,14,35.3399179470214
1,1,20,18,43.06509847596966
1,1,20,20,44.188542799690566
1,1,20,22,45.03438368342683
1,1,20,24,46.76711674636387
1,1,20,26,47.68435624150294
1,1,20,28,46.313366140920095
1,1,21,1,29.084856940710687
1,1,21,3,29.303791963836265
1,1,21,5,29.725949662633482
1,1,21,9,32.31611978155473
1,1,21,11,32.9006972058376
1,1,21,17,41.924011276034506
